m,BRinv,Gh_SM,Ginv_per_lam2,LZ2024,Mdm,Mdm_ref,Mh,Omega,PandaX4T,XENON1T,Xf,lam_planck,n_iter,sSIn,sSIn_per_lam2,sSIp,sSIp_per_lam2,sigmaV
231.013,0.0,0.003944141,0.0,7.053717e-48,231.01302,231.013003,125.548349,0.120224764,1.284824e-46,1.976895e-46,23.71825,0.06622653397503084,3,4.350686e-46,9.919591e-44,4.226794e-46,9.637117e-44,2.150044e-26
256.502,0.0,0.003944141,0.0,7.790782e-48,256.50202,256.502003,125.548349,0.120281941,1.410224e-46,2.1867e-46,23.78618,0.0734541141436398,3,4.298775e-46,7.967323999999999e-44,4.17552e-46,7.738885e-44,2.158981e-26
284.804,0.0,0.003944141,0.0,8.621603e-48,284.80402,284.804002,125.548349,0.12034548,1.525999e-46,2.432127e-46,23.90916,0.08190083930175011,3,4.293608e-46,6.40097e-44,4.169686e-46,6.216224e-44,2.165913e-26
316.228,0.0,0.003944141,0.0,9.553644e-48,316.22802,316.228002,125.548349,0.120394599,1.651895e-46,2.706309e-46,24.02878,0.09156691372317345,3,4.312402e-46,5.143304e-44,4.18713e-46,4.993895e-44,2.171474e-26
351.119,0.0,0.003944141,0.0,1.059392e-47,351.11902,351.119002,125.548349,0.120433651,1.791703e-46,3.007258e-46,24.14611,0.10247515764213848,3,4.340336e-46,4.1331979999999997e-44,4.21345e-46,4.012367e-44,2.175704e-26
389.86,0.0,0.003944141,0.0,1.174855e-47,389.860021,389.860002,125.548349,0.120494897,1.938353e-46,3.342819e-46,24.25608,0.11467703858304526,3,4.368444e-46,3.321803e-44,4.239938e-46,3.2240859999999997e-44,2.178649e-26
432.876,0.0,0.003944141,0.0,1.302216e-47,432.876021,432.876002,125.548349,0.120543059,2.135636e-46,3.71033e-46,24.36053,0.12826527872372295,3,4.392612e-46,2.669959e-44,4.262601e-46,2.5909349999999996e-44,2.180879e-26
480.638,0.0,0.003944141,0.0,1.441733e-47,480.638021,480.638001,125.548349,0.120588925,2.376448e-46,4.100263e-46,24.45922,0.14333978357197635,3,4.409747e-46,2.1462489999999997e-44,4.278441e-46,2.082342e-44,2.182238e-26
533.67,0.0,0.003944141,0.0,1.594008e-47,533.670021,533.670001,125.548349,0.120635821,2.645689e-46,4.5191e-46,24.56793,0.16002680523097257,3,4.418609e-46,1.725441e-44,4.286258e-46,1.673759e-44,2.182695e-26
592.553,0.0,0.003944141,0.0,1.761518e-47,592.553021,592.553001,125.548349,0.120679248,2.943135e-46,5.014488e-46,24.65053,0.1784802173878863,3,4.419219e-46,1.3872839999999998e-44,4.286077e-46,1.345488e-44,2.182347e-26
657.933,0.0,0.003944141,0.0,1.946156e-47,657.933021,657.933001,125.548349,0.120721464,3.275323e-46,5.625777e-46,24.77209,0.1988735179850255,3,4.411936e-46,1.115515e-44,4.27825e-46,1.0817139999999999e-44,2.18117e-26
730.527,0.0,0.003944141,0.0,2.149997e-47,730.527021,730.527001,125.548349,0.120801173,3.639896e-46,6.286256e-46,24.8441,0.2214070815141658,3,4.397569e-46,8.970767999999999e-45,4.263565e-46,8.69741e-45,2.179209e-26
811.131,0.0,0.003944141,0.0,2.375438e-47,811.131021,811.131001,125.548349,0.120809988,4.055095e-46,6.976828e-46,24.95815,0.24634713550211956,3,4.378479e-46,7.214864999999999e-45,4.244315e-46,6.993791e-45,2.177219e-26
900.628,0.0,0.003944141,0.0,2.625249e-47,900.628021,900.628001,125.548349,0.12084968,4.511405e-46,7.7013e-46,25.03707,0.2738843129553265,3,4.353174e-46,5.803256e-45,4.219056e-46,5.624462e-45,2.174045e-26
1000.0,0.0,0.003944141,0.0,2.902651e-47,1000.00002,1000.0,125.548349,0.120887883,5.020351e-46,8.454941e-46,25.12907,0.30434331291946437,3,4.324008e-46,4.668303e-45,4.190071e-46,4.523701e-45,2.170457e-26
